ec5_uuid,created_at,uploaded_at,title,X1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,X4_Hexagon_,X5_Plot_,X6_Elevation_m,X7_Slope___or_,X8_Aspect,X9_Slope_Position,X10_Surface_Shape,X11_Slope_Length,X12_Slope_Uniformity,X13_Slope_Continuity,X14_Photo__North,X15_Photo__East,X16_Photo__South,X17_Photo__West,X18_Photo__VegGround,X19_Photo__Overhead,X20_Additional_Commen,X22_Hexagon_,X23_Plot_,X24_Species,X25_If_other_fill_in,X26_Is_it_a_snag,X27_DBH_cm__tenth_dec,X28_Age_Taken,X29_If_age_is_taken_r,X30_For_tress_that_ar,X31_Tree_Class,X32_Live_crown_class,X33_Conk,X34_Blind_Conk,X35_Fork_Crook,X36_Scar,X37_Frost_Damage,X38_Mistletoe,X39_Rotten_Bark,X40_Dead_or_broken_to,X41_Insect_Damage,X42_Fire_Damage,X43_Down_Tree,X44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,X47_Hexagon_,X48_Plot_,X49_399m_Plot,X51_Hexagon_,X52_Plot_,X53_Sub_Plot_,X54_Sapling_or_Regene,X55_Species,X56_If_other_fill_in,X57_Regeneration_Heig,X58_Tree_count_indivi,X59_Avg_DBH_Sapling_o,X60_Avg_Height_Saplin,X61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,X64_Hexagon_,X65_Plot_,X66_Transect_,X67_Azimuth,X69_Hexagon_,X70_Plot_,X71_Transect_,X72_Position_along_tr,X73_Type_of_CWD,X74_If_other_and_it_i,X75_Species,X76_Decay_class,X77_DBH_at_transect_c,X78_Length_cm,X79_DBH_Left_cm__tent,X80_Distance_off_grou,X81_DBH_Right_cm__ten,X82_Distance_off_grou,X83_Tag_Id,X84_Additional_Commen
de59c4b8-c5f0-4a9f-9199-8111ecd17fbb,2021-08-10T19:54:56.848Z,2021-08-11T22:29:50.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Other,Unknown,Down (Dead) (0-45%),33.4,NA,NA,NA,4: Dead useless,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E: Less than or equal to one clean break,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
695a8cdc-474e-4d97-833a-a90ed79587b2,2021-08-10T19:52:15.301Z,2021-08-11T22:29:47.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Fd: douglas-fir,NA,Down (Dead) (0-45%),47.5,NA,NA,NA,4: Dead useless,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E: Less than or equal to one clean break,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3f7438b1-49e9-4a68-beb2-ac28a799ccb6,2021-08-10T19:49:38.701Z,2021-08-11T22:29:44.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Other,Unknown,Down (Dead) (0-45%),37.8,NA,NA,NA,4: Dead useless,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E: Less than or equal to one clean break,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c41a974c-1643-46ca-b316-c095169fdd0a,2021-08-10T19:48:13.496Z,2021-08-11T22:29:42.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Down (Dead) (0-45%),36.3,NA,NA,NA,4: Dead useless,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E: Less than or equal to one clean break,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9491ae59-8763-4125-8377-d76d65dab4ca,2021-08-10T19:46:05.680Z,2021-08-11T22:29:39.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Ac: poplar,NA,Standing (Live),41.4,NA,NA,NA,4: Dead useless,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G: More than one clean break OR more shattered Break ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
083a8432-8e39-4f93-a356-e9dacc46141f,2021-08-10T19:44:30.569Z,2021-08-11T22:29:36.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Ac: poplar,NA,Down (Dead) (0-45%),40.3,NA,NA,NA,4: Dead useless,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G: More than one clean break OR more shattered Break ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aa7225c9-2d49-419d-960f-8417b34c24ec,2021-08-10T19:40:48.759Z,2021-08-11T22:29:33.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,At: trembling aspen,NA,Down (Dead) (0-45%),39.7,NA,NA,NA,7: Mature - Dead potential,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E: Less than or equal to one clean break,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d7f9c399-f0ea-420c-a036-cca4ea5fbd01,2021-08-10T19:37:11.782Z,2021-08-11T22:29:30.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Down (Dead) (0-45%),31.5,NA,NA,NA,4: Dead useless,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E: Less than or equal to one clean break,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f959f6d6-a8cf-4615-9574-b023f18f93d8,2021-08-10T19:34:14.264Z,2021-08-11T22:29:27.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Standing (Live),30.8,Yes,H19P2SIT3,26.5,8: Younger immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3f91e325-ede4-41e7-9b8e-3516eab79ad1,2021-08-10T19:30:10.030Z,2021-08-11T22:29:24.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Standing (Live),30.7,Yes,H19P2SIT4,25.4,8: Younger immature,4 (75-100% healthy),NA,NA,3: Top 1/3 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9cc0eaee-bf19-4958-b1c6-86eccf289e46,2021-08-10T19:27:21.637Z,2021-08-11T22:29:22.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Standing (Live),30.2,Yes,H19P2SIT2,24.5,1: Older Immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
833bd0a2-f4c5-42c4-bfcb-b2f07647e584,2021-08-10T19:23:34.619Z,2021-08-11T22:29:19.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Standing (Live),33.7,NA,H19P2SIT1,27.4,5: Mature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c254e496-b95e-4bef-92ca-495cb0a0c6b8,2021-08-10T19:17:19.357Z,2021-08-11T22:29:16.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Standing (Live),9.6,NA,NA,NA,8: Younger immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b8b363e6-9436-4689-b052-8932d50c83cb,2021-08-10T19:16:03.595Z,2021-08-11T22:29:13.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Standing (Live),10.7,NA,NA,NA,8: Younger immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fb1b5a23-68d5-42c5-9d8f-6327a7458a42,2021-08-10T19:14:30.083Z,2021-08-11T22:29:10.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Standing (Live),9.5,NA,NA,NA,8: Younger immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5d04108d-e2bd-4334-985d-6bde8b7073e7,2021-08-10T19:12:45.779Z,2021-08-11T22:29:07.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Fd: douglas-fir,NA,Standing (Live),8,NA,NA,NA,8: Younger immature,2 (25-50% healthy),NA,NA,NA,NA,NA,NA,NA,3: Top 1/3 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cfb72dd3-3785-437f-b2c7-f113a8f48f02,2021-08-10T19:10:08.061Z,2021-08-11T22:29:04.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Standing (Live),9.1,NA,NA,NA,8: Younger immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a06fe6c2-8878-4f61-917c-64e937120e6a,2021-08-10T19:08:10.462Z,2021-08-11T22:29:01.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Standing (Live),17.6,NA,NA,NA,8: Younger immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2fbbc6de-4724-48bd-9e86-20c85ea9f5be,2021-08-10T19:06:28.162Z,2021-08-11T22:28:58.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,D: alder,NA,Snag (Dead) (45-90%) ,7.8,NA,NA,NA,3: Older Immature. Dead Potential,1 (0-25% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6996e514-523e-4746-b739-113d44f32442,2021-08-10T19:04:57.029Z,2021-08-11T22:28:56.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sb: black spruce,NA,Standing (Live),10.3,NA,NA,NA,8: Younger immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6e4d33d8-dcfb-4f40-8929-cc47741c3770,2021-08-10T18:35:23.075Z,2021-08-11T22:28:53.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Standing (Live),10.9,NA,NA,NA,8: Younger immature,1 (0-25% healthy),NA,NA,3: Top 1/3 only,NA,NA,NA,NA,3: Top 1/3 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0037be3b-a650-4284-8280-78fbaa64dfff,2021-08-10T18:34:12.308Z,2021-08-11T22:28:50.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,At: trembling aspen,NA,Standing (Live),20.4,NA,NA,NA,8: Younger immature,4 (75-100% healthy),NA,NA,1: Bottom 1/3 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f73d4097-ba28-4aa7-b8a0-735971db2f70,2021-08-10T18:32:32.531Z,2021-08-11T22:28:47.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Ep: paper birch,NA,Standing (Live),8.2,NA,NA,NA,2: Older immature - Suspect,2 (25-50% healthy),NA,NA,NA,1: Bottom 1/3 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c64d9077-18ce-4a80-bf95-1b2d6e10e324,2021-08-10T18:29:39.788Z,2021-08-11T22:28:44.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Standing (Live),26.7,NA,NA,NA,1: Older Immature,3 (50-75% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f31cc54f-5637-436a-bf5b-16cbcc97ef3c,2021-08-10T18:02:33.624Z,2021-08-11T22:28:41.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Snag (Dead) (45-90%) ,20.7,NA,NA,NA,2: Older immature - Suspect,1 (0-25% healthy),NA,NA,NA,1: Bottom 1/3 only,NA,NA,NA,5: Top and middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7523222b-fc25-44be-8b95-82cd11283c9a,2021-08-10T18:00:38.002Z,2021-08-11T22:28:38.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,At: trembling aspen,NA,Snag (Dead) (45-90%) ,45.9,NA,NA,NA,5: Mature,1 (0-25% healthy),1: Bottom 1/3 only,NA,NA,NA,NA,NA,NA,3: Top 1/3 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8731b57a-b635-4805-82a4-19c4a3a1f352,2021-08-10T17:50:23.015Z,2021-08-11T22:28:35.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Snag (Dead) (45-90%) ,31.8,NA,NA,NA,5: Mature,1 (0-25% healthy),NA,NA,1: Bottom 1/3 only,4: Bottom and middle,NA,NA,NA,NA,NA,NA,NA,Sapsucker and woodpecker damage.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
971fd448-5a56-49d7-8568-82b2868f2121,2021-08-10T17:44:42.691Z,2021-08-11T22:28:32.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Snag (Dead) (45-90%) ,28.2,NA,NA,NA,2: Older immature - Suspect,1 (0-25% healthy),NA,NA,3: Top 1/3 only,NA,NA,NA,NA,NA,NA,NA,NA,Sapsucker and woodpecker damage.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b91d9346-5de2-49b1-8c23-df106ca0cbcb,2021-08-10T17:40:49.595Z,2021-08-11T22:28:30.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Standing (Live),8.6,NA,NA,NA,8: Younger immature,2 (25-50% healthy),NA,NA,NA,NA,NA,NA,NA,3: Top 1/3 only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9071cf4c-621f-4f11-87c7-6c4b9d6d37f6,2021-08-10T17:38:02.685Z,2021-08-11T22:28:27.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Standing (Live),18.9,NA,NA,NA,1: Older Immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94bd35f9-94ae-43c9-b1fb-2ff7801cdc00,2021-08-10T17:35:33.596Z,2021-08-11T22:28:24.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Bl: subalpine fir,NA,Standing (Live),17.3,NA,NA,NA,8: Younger immature,4 (75-100% healthy),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4c69f379-8345-48ff-9457-06126069aadb,2021-08-10T17:22:13.156Z,2021-08-11T22:28:21.000Z,19,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,2,Sx: spruce hybrid,NA,Standing (Live),27.2,NA,NA,NA,5: Mature,4 (75-100% healthy),NA,NA,2: Middle 1/3 only,4: Bottom and middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
