ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
7206d893-27c4-4b9e-944c-0a63c23be2cc,2021-05-21T20:43:09.861Z,2021-05-25T04:14:43.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Bl: subalpine fir",,"Standing (Live)",17.6,,,,"8: Younger immature","2 (25-50% healthy)",,,,,,,,"3: Top 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc9cacdc-cdfa-4ebe-8ccb-192b1549f8fb,2021-05-21T20:40:44.386Z,2021-05-25T04:14:41.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Ac: poplar",,"Standing (Live)",56,,,,"5: Mature","3 (50-75% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b21781e1-87e7-4510-919c-28af4653263f,2021-05-21T20:38:13.845Z,2021-05-25T04:14:39.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Bl: subalpine fir",,"Snag (Dead) (45-90%) ",12.7,,,,"9: Younger immature - Dead potential","1 (0-25% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98ea653e-2e7c-4d1f-b327-01f3e0be1933,2021-05-21T20:35:58.527Z,2021-05-25T04:14:36.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Snag (Dead) (45-90%) ",17.7,,,,"8: Younger immature","1 (0-25% healthy)",,,,"1: Bottom 1/3 only",,,,,"7: Grey Attack (Spruce and Fir)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b404eb2-4113-49f1-98a8-868d53642550,2021-05-21T20:34:11.907Z,2021-05-25T04:14:34.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Standing (Live)",60.9,,,,"5: Mature","2 (25-50% healthy)",,,,"1: Bottom 1/3 only",,,,,"5: Green Strip Attack (Alive) (Spruce and Fir)",,,"A lot of pitching, broom like branching, suspected rust. Cavity at base of tree.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e25931ee-1cec-4fe2-894f-c5d64b0f248d,2021-05-21T20:30:00.164Z,2021-05-25T04:14:32.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Standing (Live)",44.5,,,,"5: Mature","3 (50-75% healthy)",,,,,,,,,,,,"Fan like branching, needles shed from some branches. Suspect broom rust.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc333465-7359-475b-89fa-28d1b51c0997,2021-05-21T20:27:39.588Z,2021-05-25T04:14:30.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Standing (Live)",13,,,,"8: Younger immature","1 (0-25% healthy)",,,,,,,,"3: Top 1/3 only",,,,"Spruce gall adelgid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c648f851-0032-432a-8359-3da720207019,2021-05-21T20:24:32.013Z,2021-05-25T04:14:28.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Bl: subalpine fir",,"Standing (Live)",12.9,,,,"8: Younger immature","3 (50-75% healthy)",,,,,,,,,,,,Chlorosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c41aea38-a50e-49ce-b10a-151d3ac10164,2021-05-21T20:22:36.049Z,2021-05-25T04:14:25.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Standing (Live)",47.5,,,,"5: Mature","3 (50-75% healthy)",,,,,,,,,,,,"Many needles have been dropped from branches. Abnormal branching, broom like. Canker seen on fallen branch. Potential broom rust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131686bb-a6eb-45f7-a26e-e0003f9d60e0,2021-05-21T20:18:00.613Z,2021-05-25T04:14:23.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Ac: poplar",,"Standing (Live)",49.5,,,,"5: Mature","2 (25-50% healthy)",,,,,,,,,,,,"Rotting cavity at base Of tree. Dead branches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399d9b07-34b0-49d3-b873-ad7936f46ab5,2021-05-21T20:14:30.165Z,2021-05-25T04:14:21.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Bl: subalpine fir",,"Standing (Live)",19.8,,,,"2: Older immature - Suspect","3 (50-75% healthy)",,,"3: Top 1/3 only","1: Bottom 1/3 only",,,,,,,,"Some branches had chlorotic foliage along bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c0af6d0-de1a-4cb8-b2ba-299d666c3731,2021-05-21T20:11:21.942Z,2021-05-25T04:14:19.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Standing (Live)",9.5,,,,"8: Younger immature","3 (50-75% healthy)",,,,,,,,"3: Top 1/3 only",,,,"New leader had several years of growth. Break of old leader occurred at a canker, other smaller cankers occurred on other stems.  a similar canker was spotted on a nearby sapling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ef27436-575f-4579-86a7-ad3cefcf34a9,2021-05-21T20:04:47.225Z,2021-05-25T04:14:15.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Snag (Dead) (45-90%) ",27.7,,,,"3: Older Immature. Dead Potential","1 (0-25% healthy)","1: Bottom 1/3 only",,,,,,,,"7: Grey Attack (Spruce and Fir)",,,"Sweep in bottom  1/3. Insect damage in bottom 2/3. Tree shares a root network with a downed spruce that had also been attacked and had conks. A small cut stump was also part of this network. Possible root rot, since blowdown at the base of the bole.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69b55bee-3946-40ea-a8e1-7a76e9dc4a49,2021-05-21T19:57:46.317Z,2021-05-25T04:14:13.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Bl: subalpine fir",,"Standing (Live)",9.9,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff0c2aa3-a037-4f0a-92af-1fae93ea4945,2021-05-21T19:54:27.025Z,2021-05-25T04:14:08.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Ac: poplar",,"Standing (Live)",54.1,,,,"5: Mature","3 (50-75% healthy)",,,,"1: Bottom 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6882f56d-c5e4-4b0a-a1be-ddf04724d34a,2021-05-21T19:51:04.092Z,2021-05-25T04:14:03.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Ac: poplar",,"Standing (Live)",78.5,,,,"5: Mature","3 (50-75% healthy)",,,,"1: Bottom 1/3 only",,,,,,,,"10cm Cavity at bottom 1/3 by scar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bb7f92c-cbaf-42c9-bd8b-93eb1bc64a15,2021-05-21T19:47:24.160Z,2021-05-25T04:14:06.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Ac: poplar",,"Standing (Live)",54.1,,,,"5: Mature","3 (50-75% healthy)",,,,"2: Middle 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93eccd31-f412-4c60-8ecb-def53daa69c7,2021-05-20T22:32:04.343Z,2021-05-21T01:38:20.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Fd: douglas-fir",,"Down (Dead) (0-45%)",44,,,,"4: Dead useless","1 (0-25% healthy)",,,,,,,,,,,"G: More than one clean break OR more shattered Break ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35e304be-e9a1-42b8-8301-07c9581685d8,2021-05-20T22:24:50.678Z,2021-05-21T01:18:30.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",31.7,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00783a04-74cf-4cc1-aa26-7e53e6abc82e,2021-05-20T22:20:30.196Z,2021-05-21T01:18:26.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Sx: spruce hybrid",,"Down (Dead) (0-45%)",33.3,,,,"3: Older Immature. Dead Potential","1 (0-25% healthy)",,,,,,,,,,,"E: Less than or equal to one clean break","Broken at base of bole. Potential root rot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2a77d71-b872-4f7b-9be7-d3dadd294cca,2021-05-20T22:15:51.397Z,2021-05-21T01:18:22.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",13.8,,,,"9: Younger immature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,,"Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1bc6ff2-2635-48c1-bee2-1e130bcae8df,2021-05-20T22:11:50.146Z,2021-05-21T01:18:18.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,Other,Unknown,"Down (Dead) (0-45%)",43.5,,,,"4: Dead useless","1 (0-25% healthy)",,,,,,,,,,,"E: Less than or equal to one clean break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9cee8889-8214-4df9-83c4-1cc7ed993db3,2021-05-20T22:06:55.781Z,2021-05-21T01:18:15.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,Other,Unknown,"Down (Dead) (0-45%)",28.3,,,,"4: Dead useless","1 (0-25% healthy)",,,,,,,,,,,"G: More than one clean break OR more shattered Break ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ada15ef-3d3f-4355-8b6d-eab5863c84bf,2021-05-20T22:03:21.853Z,2021-05-21T01:18:34.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,Other,Unknown,"Down (Dead) (0-45%)",22.1,,,,"4: Dead useless","1 (0-25% healthy)",,,,,,,,,,,"G: More than one clean break OR more shattered Break ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c50ed87-1ffc-4d20-b671-b110b8ce11b2,2021-05-20T22:01:47.095Z,2021-05-21T01:18:11.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",28.2,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa21ce38-2806-4cdd-8961-92fad05dd1a4,2021-05-20T21:59:34.979Z,2021-05-21T01:18:07.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,Other,Unknown,"Down (Dead) (0-45%)",18.2,,,,"4: Dead useless","1 (0-25% healthy)",,,,,,,,,,,"G: More than one clean break OR more shattered Break ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53ce601f-451c-4cc9-8709-48b5fc073842,2021-05-20T21:56:26.404Z,2021-05-21T01:18:04.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,Other,Unknown,"Down (Dead) (0-45%)",23.4,,,,"4: Dead useless","1 (0-25% healthy)",,,,,,,,,,,"E: Less than or equal to one clean break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c896b2dc-ea5e-4cd9-baab-88851eb6ca28,2021-05-20T21:53:50.992Z,2021-05-21T01:18:00.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",25.4,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853ece3c-aa87-46a1-8cf9-f7bd0003cda4,2021-05-20T21:39:12.386Z,2021-05-21T01:34:13.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Fd: douglas-fir",,"Standing (Live)",39.1,,,,"2: Older immature - Suspect","4 (75-100% healthy)",,,,,,,,,,,,"Abnormal thick branching. Pitching in middle third.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948906c-93d4-47d5-89c3-95dcbef8339e,2021-05-20T21:33:26.419Z,2021-05-21T01:17:57.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",33.1,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e76ce24d-b617-4733-aa4f-332c8ee5c222,2021-05-20T21:32:21.611Z,2021-05-21T01:34:10.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Standing (Live)",24.6,,,,"2: Older immature - Suspect","4 (75-100% healthy)",,,,"1: Bottom 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d3c0b81-e25d-4f95-a13b-ae02df92a027,2021-05-20T21:30:55.713Z,2021-05-21T01:34:07.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Standing (Live)",20.3,,,,"2: Older immature - Suspect","2 (25-50% healthy)",,,,,,,,"3: Top 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a14d55f1-f706-4aca-9619-39f789099276,2021-05-20T21:29:40.830Z,2021-05-21T01:17:53.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",32.5,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f08f4576-fd7e-4c4f-a83f-abdc26bfa1f5,2021-05-20T21:28:51.101Z,2021-05-21T01:34:04.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Snag (Dead) (45-90%) ",24.2,,,,"3: Older Immature. Dead Potential","1 (0-25% healthy)",,,,,"7: Present in all 3rds ",,,,,,,"Woodpecker and sapsucker holes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d05c3a5-8772-4cb0-9977-1bcceaf764dd,2021-05-20T21:26:42.852Z,2021-05-21T01:17:49.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",33.5,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4497ab2-cd80-4ecf-b4bb-bbfcd9e7c338,2021-05-20T21:14:20.236Z,2021-05-21T01:34:01.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Standing (Live)",12,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,"Pitching bottom 2/3 and chlorosis needles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7799c6d4-a80c-4444-904e-3b55ac4db658,2021-05-20T21:12:31.494Z,2021-05-21T01:33:53.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Standing (Live)",7.8,,,,"8: Younger immature","2 (25-50% healthy)",,,,"4: Bottom and middle",,,,,,,,"Chlorosis needles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c00a4b6d-cc59-459b-92a0-424c5215fefd,2021-05-20T21:09:50.412Z,2021-05-21T01:33:49.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Sx: spruce hybrid",,"Standing (Live)",7.8,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937c1aef-7a4d-47ee-b156-f09a6582de10,2021-05-20T21:09:33.944Z,2021-05-21T01:17:46.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",27.1,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,,,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14d37fd2-b412-4d5a-ac1f-f43336bfc902,2021-05-20T21:08:21.512Z,2021-05-21T01:34:20.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Standing (Live)",21.9,,"H2p3 sit6",19.6,"1: Older Immature","3 (50-75% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61556c0f-83dd-4eef-9e84-5accec8a6d1a,2021-05-20T21:04:59.106Z,2021-05-21T01:17:42.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",34.6,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"G: More than one clean break OR more shattered Break ","Evidence of beetle kill. Blowdown at base of bole.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1c48e3f-d56e-43e0-8cbd-0dadbf64c20b,2021-05-20T21:03:38.313Z,2021-05-21T01:33:46.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Standing (Live)",12.5,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5aa231f-0130-4fd3-b116-40e080f6ad5d,2021-05-20T20:55:39.686Z,2021-05-21T01:17:39.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",29.9,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c22c85f2-1f9d-4305-bd6d-1fa791167828,2021-05-20T20:52:15.590Z,2021-05-21T01:38:23.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Sx: spruce hybrid",,"Standing (Live)",13.9,,,,"8: Younger immature","2 (25-50% healthy)",,,"2: Middle 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c84cd919-81f4-451b-bd3d-7e70d4f73009,2021-05-20T20:50:26.846Z,2021-05-21T01:17:36.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",29.2,,,,"7: Mature - Dead potential","1 (0-25% healthy)",,,,,,,,,"3: Grey Attach (Balsam, White, Yellow or Lodgepole Pine)",,"E: Less than or equal to one clean break","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1d33f87-caa2-4944-afb8-632951aa6eb0,2021-05-20T20:48:14.072Z,2021-05-21T01:33:24.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Sx: spruce hybrid",,"Standing (Live)",24.9,,,,"2: Older immature - Suspect","2 (25-50% healthy)",,,,"4: Bottom and middle",,,,"3: Top 1/3 only",,,,"Pitching in bottom 2/3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bc7dde7-9bc1-4238-926e-988eb2c415fb,2021-05-20T20:43:22.692Z,2021-05-21T01:33:06.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Standing (Live)",15.4,,,,"8: Younger immature","2 (25-50% healthy)",,,,"4: Bottom and middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef01d9b8-cd36-42cd-8d32-82cc07abab36,2021-05-20T20:41:28.004Z,2021-05-21T01:17:33.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Pl: lodgepole pine",,"Down (Dead) (0-45%)",20.4,,,,"3: Older Immature. Dead Potential","1 (0-25% healthy)",,,,,,,,,,,"G: More than one clean break OR more shattered Break ","Evidence of beetle kill. Blowdown at base of bole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45d760ff-4bc5-4b63-8488-8acd1c82da6e,2021-05-20T20:37:18.488Z,2021-05-21T01:33:01.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Bl: subalpine fir",,"Standing (Live)",13.9,,,,"8: Younger immature","3 (50-75% healthy)",,,,"1: Bottom 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e75c15c-cdef-4757-949b-99f5c38b576a,2021-05-20T20:31:05.311Z,2021-05-21T01:17:30.000Z,2,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,2,3,"Fd: douglas-fir",,"Down (Dead) (0-45%)",37.1,,,,"3: Older Immature. Dead Potential","1 (0-25% healthy)",,,,,,,,,,,"E: Less than or equal to one clean break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
